Age,Gender,High_School_GPA,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Work_Life_Balance
21,Male,3.33,140,2.13,Medicine,2,3,10,1,3,33000.0,2,3,4
23,Male,2.76,115,3.96,Engineering,4,3,6,9,2,42000.0,3,5,1
19,Female,3.44,328,2.24,Law,2,4,4,6,5,70300.0,2,2,1
25,Female,2.67,225,2.52,Mathematics,2,5,6,8,0,49900.0,10,3,5
25,Male,2.58,558,3.78,Mathematics,4,1,2,5,0,56900.0,8,3,1
18,Male,3.08,439,2.97,Arts,3,1,1,7,5,25000.0,2,5,3
29,Male,2.05,550,2.27,Computer Science,4,0,6,3,4,45200.0,5,1,3
20,Male,2.16,718,2.77,Engineering,0,1,8,10,4,54200.0,4,3,10
27,Male,2.84,386,2.23,Medicine,4,4,5,1,3,51400.0,1,5,4
26,Female,3.89,521,2.4,Engineering,3,4,8,7,0,61800.0,7,5,1
22,Male,3.44,253,2.1,Law,4,2,3,5,5,40500.0,6,5,7
23,Male,2.18,620,2.88,Law,3,4,6,1,1,67200.0,10,1,4
21,Female,3.69,901,3.61,Arts,0,2,1,9,5,43100.0,1,4,7
27,Female,3.46,98,3.17,Computer Science,1,1,3,9,1,50300.0,9,3,5
19,Female,3.22,787,3.21,Arts,3,0,4,6,5,35200.0,4,2,1
28,Female,3.64,71,2.4,Medicine,3,5,5,9,5,58300.0,1,5,4
25,Male,2.81,551,2.69,Business,3,3,3,7,5,38600.0,8,2,5
28,Female,2.44,810,3.69,Law,0,4,8,8,5,53900.0,1,5,4
23,Female,3.02,913,2.18,Computer Science,2,1,5,2,5,62200.0,2,5,7
22,Male,3.1,447,3.72,Law,3,4,7,2,5,63800.0,5,3,1
26,Female,3.08,90,2.97,Medicine,0,2,5,4,1,89300.0,1,1,9
18,Female,3.13,430,3.67,Medicine,1,1,8,1,1,50100.0,1,1,6
22,Male,3.9,219,2.64,Law,3,3,1,8,3,45400.0,6,2,8
23,Male,3.8,107,2.68,Arts,2,2,3,5,5,40600.0,1,4,8
22,Male,3.75,476,3.5,Law,0,1,3,7,2,59200.0,5,1,9
23,Male,3.6,916,3.57,Arts,1,5,10,2,1,48100.0,10,1,5
23,Male,3.89,454,2.46,Law,2,5,10,5,3,37300.0,5,4,8
24,Female,2.2,904,3.95,Arts,1,3,3,9,1,36900.0,2,1,8
21,Male,2.53,608,2.17,Business,2,5,6,9,1,68800.0,3,3,6
28,Female,2.99,915,2.14,Engineering,4,2,9,2,5,63200.0,3,3,10
25,Female,3.69,544,3.19,Engineering,4,3,6,2,2,69800.0,3,2,8
24,Female,3.01,126,3.45,Arts,4,1,5,5,1,28600.0,3,2,5
26,Female,3.5,147,3.92,Arts,1,2,1,3,3,44600.0,4,2,10
24,Male,2.28,280,2.81,Mathematics,4,5,2,1,5,36300.0,10,3,8
20,Male,2.5,24,2.05,Mathematics,0,0,1,1,3,52000.0,1,2,10
20,Female,3.46,952,3.21,Business,0,4,6,5,0,38100.0,4,2,3
25,Female,2.33,721,2.58,Engineering,4,5,3,3,4,71000.0,4,3,4
22,Female,2.7,120,2.87,Business,2,0,5,9,1,44600.0,8,4,3
21,Male,2.53,786,2.98,Mathematics,2,3,6,3,5,77800.0,4,2,5
25,Female,2.7,652,2.13,Mathematics,1,1,5,3,1,62900.0,5,1,5
23,Male,3.42,297,2.97,Medicine,2,4,3,3,3,63600.0,4,3,5
19,Female,2.74,855,2.85,Law,3,1,2,1,1,75900.0,5,4,2
21,Other,3.11,944,3.43,Mathematics,2,3,2,3,5,51000.0,3,1,9
29,Male,2.2,82,3.29,Engineering,0,1,2,5,3,62600.0,3,1,7
28,Female,3.61,448,2.37,Arts,2,2,10,8,0,54700.0,8,5,8
21,Male,2.74,912,2.41,Computer Science,1,2,4,7,5,38200.0,1,4,2
23,Male,3.3,720,2.5,Mathematics,2,5,4,4,1,40500.0,3,5,10
23,Female,3.45,996,2.36,Medicine,1,5,3,4,5,47000.0,2,3,10
18,Female,2.42,919,3.31,Law,3,5,8,4,5,56700.0,10,4,7
25,Female,3.77,470,3.99,Computer Science,4,5,4,8,0,61300.0,6,5,3
23,Female,3.23,423,3.3,Business,3,3,8,8,0,58400.0,8,3,5
20,Female,2.86,545,3.21,Law,0,1,3,2,4,58700.0,6,2,7
26,Female,2.36,24,2.82,Business,3,5,2,7,3,45800.0,4,1,9
19,Female,3.88,61,2.63,Business,3,3,8,5,0,25000.0,3,3,10
28,Male,3.51,823,3.82,Arts,0,4,6,2,3,61500.0,4,4,1
25,Other,2.42,701,3.94,Business,0,5,2,3,4,38000.0,8,1,6
27,Male,2.68,84,2.99,Mathematics,4,1,7,7,3,82300.0,9,1,6
20,Female,3.62,225,2.58,Computer Science,4,2,10,6,5,55200.0,8,3,2
29,Male,3.39,991,3.54,Medicine,2,0,7,6,4,70700.0,9,2,10
22,Male,3.53,680,2.26,Mathematics,1,2,4,7,1,33500.0,8,3,9
23,Male,2.88,186,3.53,Arts,0,1,8,6,4,66900.0,5,5,5
27,Female,3.43,375,3.64,Medicine,3,1,3,2,4,60700.0,5,5,9
23,Male,2.77,72,2.25,Business,3,1,9,8,4,55700.0,1,5,4
21,Male,2.42,74,3.95,Engineering,4,1,5,7,2,34200.0,8,4,5
20,Female,3.27,897,3.97,Law,1,5,3,6,0,39400.0,2,3,5
21,Female,3.95,341,3.87,Arts,0,4,9,5,3,59800.0,6,1,5
18,Male,2.62,153,2.99,Business,4,0,2,6,5,39400.0,6,4,9
21,Male,2.92,96,2.49,Arts,1,5,2,3,3,37600.0,10,5,1
18,Male,3.35,565,3.16,Engineering,0,2,3,2,2,42400.0,4,4,8
29,Male,3.08,445,2.84,Computer Science,3,4,9,9,1,57500.0,9,1,7
18,Female,3.69,686,2.41,Mathematics,3,3,10,1,5,71300.0,3,4,1
27,Female,3.52,110,2.85,Computer Science,4,1,3,2,0,56200.0,8,2,2
23,Female,2.12,458,3.33,Law,1,2,5,10,0,68300.0,2,5,1
22,Male,4.0,828,2.14,Computer Science,3,3,9,10,0,47900.0,5,3,4
28,Female,3.5,51,2.67,Mathematics,1,0,10,1,0,80600.0,6,5,10
21,Female,3.73,377,2.04,Mathematics,4,2,6,8,2,70000.0,2,5,9
28,Female,3.3,765,3.5,Engineering,2,4,6,4,3,63400.0,7,3,1
20,Female,3.71,73,3.28,Medicine,1,5,1,6,1,56900.0,5,3,3
18,Female,2.22,212,2.13,Engineering,1,3,2,5,5,56000.0,10,1,7
23,Female,2.7,432,3.93,Engineering,4,2,9,8,5,27600.0,4,1,4
19,Male,3.75,724,2.05,Business,2,5,8,10,1,26900.0,4,2,6
25,Female,2.4,763,3.18,Computer Science,3,5,2,7,1,59800.0,2,4,7
27,Female,2.16,168,3.55,Arts,0,5,5,1,2,51100.0,9,4,6
22,Female,3.58,775,3.58,Mathematics,4,4,5,8,2,58400.0,1,4,8
24,Male,3.67,331,2.07,Law,0,1,6,4,4,33100.0,1,5,2
27,Female,2.33,981,3.81,Medicine,2,2,4,7,2,72800.0,4,5,1
29,Female,3.71,742,3.84,Mathematics,2,5,9,3,0,47000.0,3,3,7
19,Male,3.37,751,3.12,Arts,1,1,5,2,3,55700.0,9,2,3
25,Male,3.04,787,2.96,Business,0,5,4,1,1,42500.0,7,2,4
19,Female,3.66,494,2.09,Business,0,3,9,10,2,54900.0,2,4,7
21,Female,2.84,143,3.12,Medicine,2,3,2,5,3,85700.0,4,3,2
18,Female,2.39,582,2.82,Arts,0,3,2,3,0,67400.0,5,4,7
22,Male,2.57,445,3.55,Medicine,3,1,3,3,2,41500.0,10,5,4
26,Female,3.01,824,2.81,Medicine,2,1,10,8,2,34900.0,4,3,9
18,Male,3.06,394,3.37,Computer Science,1,5,4,1,3,55300.0,4,4,1
26,Male,3.61,512,2.2,Arts,1,4,10,2,5,45000.0,4,2,3
28,Male,3.58,686,2.27,Computer Science,1,2,9,1,5,39800.0,8,1,8
25,Male,3.16,848,2.28,Mathematics,0,4,5,7,0,79800.0,7,5,7
23,Male,3.56,621,2.09,Computer Science,2,1,2,4,2,25000.0,4,4,2
24,Male,2.38,715,3.08,Mathematics,1,2,3,3,3,60700.0,1,3,5
20,Male,2.1,697,3.59,Law,2,3,8,3,0,79100.0,6,3,7
18,Male,3.75,803,3.22,Computer Science,0,4,6,10,2,32600.0,5,4,5
22,Female,2.15,328,3.15,Engineering,3,4,5,3,5,43700.0,5,2,10
29,Female,2.49,604,3.36,Business,3,4,4,2,2,45100.0,6,4,1
29,Male,3.39,259,2.68,Business,3,1,4,5,1,74100.0,8,5,5
19,Female,2.82,834,2.72,Engineering,0,2,8,1,4,49600.0,6,3,10
22,Male,3.75,437,2.63,Mathematics,1,3,6,5,0,80700.0,6,5,3
25,Female,2.6,718,3.42,Mathematics,0,1,5,10,3,62800.0,7,1,1
28,Male,2.02,564,2.32,Medicine,2,3,5,8,1,44700.0,8,2,10
26,Male,2.6,349,2.03,Arts,3,0,6,7,2,33100.0,4,4,4
19,Female,3.16,693,3.19,Arts,2,0,3,3,3,34800.0,7,4,7
29,Female,2.75,950,3.88,Arts,0,3,7,9,1,59900.0,8,2,7
20,Female,3.07,815,3.22,Computer Science,4,0,1,10,1,88500.0,6,3,2
20,Female,3.75,515,3.57,Arts,4,2,5,7,5,42900.0,9,4,2
18,Female,3.82,449,3.35,Arts,0,2,6,1,5,40400.0,6,2,1
25,Male,2.53,399,2.99,Mathematics,1,1,2,6,4,59800.0,4,4,2
23,Male,2.92,596,3.44,Arts,2,3,2,4,5,47100.0,6,3,9
29,Male,3.1,214,3.65,Business,0,1,9,6,1,43000.0,2,2,9
25,Male,3.9,546,2.45,Engineering,0,2,2,3,0,73300.0,8,3,7
28,Female,4.0,562,2.67,Law,4,2,3,5,4,72900.0,6,4,3
26,Female,2.47,289,2.45,Mathematics,3,2,1,3,4,54300.0,4,2,8
22,Male,3.45,841,2.9,Medicine,3,4,9,7,2,40200.0,7,1,4
29,Female,2.76,259,3.77,Engineering,1,0,1,5,2,55800.0,8,4,5
20,Female,2.02,258,2.69,Arts,1,1,4,4,0,65400.0,3,2,10
22,Male,2.02,388,2.75,Medicine,1,1,7,10,3,70200.0,10,1,5
22,Male,2.92,784,3.72,Medicine,4,2,2,7,5,66900.0,3,2,2
22,Male,2.98,694,3.03,Engineering,0,4,8,7,5,25000.0,10,5,9
20,Male,2.05,545,3.07,Engineering,1,1,8,10,0,57400.0,3,5,6
28,Male,3.37,265,3.72,Engineering,4,5,3,9,4,61600.0,3,2,6
27,Female,2.59,313,2.98,Mathematics,2,1,4,3,2,63900.0,2,2,1
21,Male,3.12,40,3.36,Mathematics,0,4,7,10,0,55400.0,5,5,2
26,Male,2.6,998,2.17,Law,2,2,5,8,2,50600.0,6,4,4
27,Other,2.33,820,2.36,Engineering,3,4,5,7,0,45600.0,1,5,8
26,Female,2.81,210,2.81,Law,3,0,2,9,5,38100.0,6,5,8
19,Female,2.46,272,2.99,Computer Science,0,1,6,2,0,40500.0,7,5,9
25,Male,3.07,136,3.93,Business,1,0,4,6,1,70700.0,2,3,1
25,Male,2.4,599,3.94,Law,0,1,5,5,0,60700.0,1,4,8
24,Female,3.02,60,3.7,Business,1,0,5,3,2,62400.0,7,3,4
25,Male,2.31,510,2.63,Arts,3,1,2,7,0,41500.0,6,4,5
20,Male,3.34,676,3.93,Computer Science,0,5,8,5,3,58000.0,3,3,10
23,Female,3.51,515,3.38,Medicine,0,2,1,6,5,77600.0,2,3,5
18,Female,2.22,15,2.79,Engineering,1,5,2,4,5,52100.0,2,2,7
24,Male,2.94,614,3.4,Arts,3,3,7,7,1,61900.0,2,5,3
18,Female,2.14,255,2.03,Medicine,3,4,7,7,0,42400.0,8,2,5
26,Male,3.2,737,2.29,Mathematics,1,1,2,5,3,44200.0,1,2,7
18,Male,2.53,722,3.66,Business,1,4,1,7,2,54300.0,3,2,6
18,Male,3.06,535,3.29,Medicine,1,1,10,7,3,39600.0,8,1,2
24,Male,3.03,235,2.73,Engineering,3,3,1,10,5,38800.0,6,4,8
19,Male,3.85,131,3.0,Engineering,3,2,1,8,1,47500.0,7,2,9
22,Female,3.1,670,3.81,Law,0,2,6,1,2,53100.0,2,2,9
25,Female,3.17,685,3.26,Law,3,4,10,4,0,40800.0,9,1,9
25,Female,2.8,17,2.8,Mathematics,2,5,7,1,0,52600.0,7,1,2
20,Male,3.9,882,2.24,Business,2,3,2,3,3,33200.0,3,5,10
24,Male,3.55,954,2.59,Engineering,1,4,6,8,0,52500.0,9,2,3
20,Male,2.57,826,3.96,Computer Science,1,2,4,7,2,25000.0,3,4,4
23,Male,3.69,992,2.87,Arts,1,0,9,3,5,66200.0,10,2,2
23,Male,2.86,878,2.94,Business,0,4,8,4,2,26700.0,8,5,6
20,Female,3.66,185,3.0,Business,2,1,8,2,0,73300.0,7,2,7
24,Female,3.65,391,3.77,Medicine,2,2,2,2,3,56400.0,3,1,9
20,Female,2.38,423,3.21,Business,3,1,5,5,0,58900.0,5,1,1
25,Male,3.4,846,3.39,Mathematics,2,3,2,2,5,43400.0,7,5,7
27,Female,2.58,442,2.78,Arts,3,5,3,7,4,58100.0,3,5,5
21,Male,2.59,696,2.06,Computer Science,0,5,8,1,0,52800.0,2,1,3
18,Male,2.59,655,3.86,Medicine,1,2,5,9,1,32700.0,9,1,5
21,Male,3.45,556,3.9,Arts,1,2,4,10,0,61600.0,2,2,6
24,Female,2.46,12,3.9,Law,3,5,5,1,5,37500.0,3,5,4
28,Other,2.0,520,3.89,Business,4,4,8,1,4,85100.0,1,2,10
21,Male,3.43,80,3.63,Mathematics,3,5,10,9,1,38200.0,1,1,9
23,Female,2.34,809,3.37,Engineering,0,5,7,7,3,25700.0,1,4,1
26,Female,2.21,674,3.69,Law,2,4,6,10,1,75400.0,10,5,10
18,Male,2.48,302,3.2,Engineering,3,1,2,4,2,61700.0,3,2,6
22,Male,2.76,216,2.27,Arts,0,4,10,3,5,56800.0,6,5,10
28,Male,2.95,248,2.78,Computer Science,1,0,5,5,4,41700.0,10,4,2
24,Other,2.09,541,3.94,Engineering,4,2,10,2,2,51000.0,3,3,7
18,Male,3.94,272,2.7,Mathematics,4,5,9,6,2,47600.0,4,1,9
21,Female,3.43,133,3.74,Arts,3,3,9,6,1,63400.0,2,4,6
23,Male,2.65,5,2.19,Medicine,2,2,9,1,1,41100.0,7,3,10
19,Female,2.64,756,2.67,Business,3,5,3,10,2,42500.0,4,2,9
27,Male,2.9,542,2.7,Computer Science,4,1,9,9,5,60800.0,1,4,8
22,Female,3.25,629,2.1,Mathematics,4,5,9,1,3,69900.0,4,3,5
28,Female,2.29,690,2.24,Mathematics,1,4,5,6,0,44200.0,4,4,8
27,Female,2.38,773,2.39,Computer Science,2,2,6,7,0,59700.0,3,3,5
18,Female,3.72,747,3.68,Medicine,2,4,7,8,4,65600.0,8,2,8
23,Male,2.51,141,2.13,Computer Science,4,5,10,2,1,36200.0,7,2,7
23,Female,2.76,483,2.6,Arts,4,1,10,8,0,45800.0,10,2,5
21,Male,3.74,305,2.02,Computer Science,3,4,10,10,3,25000.0,10,2,8
25,Male,3.33,345,3.39,Computer Science,3,3,6,2,4,80900.0,3,2,6
21,Female,2.68,562,3.24,Computer Science,1,5,5,2,5,53700.0,4,3,7
25,Male,3.37,270,3.29,Arts,4,1,1,9,1,63700.0,8,2,5
25,Female,2.04,108,2.75,Law,3,2,4,7,0,44100.0,10,4,8
22,Other,3.47,558,2.42,Business,1,2,8,8,2,42600.0,3,4,8
21,Male,2.97,474,3.44,Engineering,2,3,8,1,3,48400.0,5,2,1
29,Female,3.63,82,3.62,Law,4,0,6,10,3,47400.0,5,4,8
19,Male,3.91,638,2.28,Computer Science,0,4,3,6,1,85500.0,5,2,10
28,Male,3.85,84,2.97,Medicine,4,5,8,1,5,56000.0,5,4,8
20,Male,3.82,290,2.5,Mathematics,3,2,7,5,3,60200.0,9,5,7
20,Female,3.02,71,2.34,Medicine,4,5,9,2,1,50300.0,10,1,6
21,Female,2.72,175,3.47,Arts,0,3,3,9,3,51200.0,5,4,10
21,Female,2.93,828,3.08,Business,4,4,6,3,0,60200.0,9,4,3
27,Other,3.38,842,2.43,Computer Science,3,1,1,10,5,49500.0,9,1,7
28,Male,3.77,463,2.62,Arts,2,5,8,7,1,71000.0,10,5,4
28,Male,2.41,849,3.93,Engineering,3,3,2,2,3,37600.0,4,1,8
22,Female,3.84,395,3.7,Business,1,1,5,10,0,68200.0,9,4,5
21,Female,3.63,866,3.76,Business,3,1,6,4,5,67500.0,2,2,3
28,Male,3.96,91,2.92,Arts,1,1,4,10,0,81300.0,3,5,6
27,Male,3.76,469,3.25,Law,4,4,9,3,0,25000.0,1,4,6
25,Female,2.56,863,2.75,Mathematics,1,0,3,1,5,66200.0,7,2,6
23,Female,2.21,434,2.16,Medicine,4,5,2,10,1,40000.0,10,2,8
23,Male,2.22,249,2.8,Law,1,1,3,6,1,63400.0,9,5,1
25,Male,2.58,644,3.19,Business,3,2,5,5,3,63300.0,3,4,10
24,Female,3.23,681,2.57,Medicine,0,4,1,6,5,37200.0,8,3,1
27,Female,3.61,955,3.7,Business,4,4,10,1,5,60700.0,1,2,10
28,Male,3.8,572,2.3,Mathematics,1,1,4,8,5,44900.0,6,1,7
29,Female,3.25,881,2.73,Business,0,2,1,4,2,39600.0,6,3,3
27,Male,2.01,849,2.25,Business,1,3,9,7,2,25000.0,5,1,8
25,Male,2.37,241,2.81,Engineering,1,4,3,8,4,71200.0,4,5,3
19,Female,2.2,702,2.08,Medicine,1,1,2,3,2,48600.0,3,2,6
26,Female,2.73,496,2.55,Engineering,3,5,5,4,5,34200.0,4,2,1
18,Male,3.0,340,2.8,Medicine,1,1,1,9,2,54800.0,7,5,2
25,Female,2.09,793,2.96,Mathematics,0,5,10,9,3,51600.0,7,2,7
29,Female,2.7,744,3.09,Mathematics,1,5,7,7,1,36200.0,3,3,6
28,Female,2.36,471,2.55,Engineering,2,0,9,3,2,36500.0,10,3,1
29,Female,3.29,463,3.05,Engineering,4,0,1,4,4,66600.0,3,5,10
29,Female,2.93,801,3.02,Engineering,3,3,8,7,3,53200.0,3,4,7
21,Female,2.99,275,2.63,Mathematics,2,3,8,6,0,40300.0,5,2,4
21,Male,2.86,825,3.66,Mathematics,2,5,7,6,0,44300.0,1,3,1
22,Male,3.91,15,3.09,Arts,0,3,10,4,4,44500.0,10,1,9
25,Male,2.43,41,2.66,Engineering,0,3,4,10,1,25000.0,7,2,3
22,Female,3.03,965,3.89,Law,3,1,7,8,5,64100.0,8,3,9
25,Female,3.47,208,3.69,Law,3,1,2,9,0,44500.0,7,3,7
27,Male,3.11,60,3.97,Business,4,1,6,10,1,47700.0,8,3,8
18,Male,3.86,365,3.38,Computer Science,1,2,5,7,2,58400.0,9,4,7
29,Female,2.76,240,2.76,Engineering,3,5,5,8,2,68700.0,4,5,10
27,Male,2.93,608,2.56,Computer Science,3,3,8,10,2,53000.0,3,4,9
26,Female,2.18,790,3.33,Computer Science,1,2,1,2,0,33600.0,7,1,3
23,Male,3.22,939,3.96,Business,4,4,8,4,0,46300.0,9,1,8
20,Female,2.58,160,3.25,Computer Science,0,5,4,3,1,49000.0,9,5,2
25,Female,2.32,397,3.76,Mathematics,4,4,10,6,1,25000.0,8,5,4
26,Male,3.09,934,2.66,Computer Science,1,1,6,2,5,57100.0,3,3,10
23,Male,3.06,794,2.81,Mathematics,0,4,6,7,4,59900.0,6,1,4
28,Male,2.15,500,3.81,Mathematics,0,1,1,8,5,51400.0,2,3,6
24,Female,3.4,209,3.51,Law,0,5,8,4,2,37500.0,6,5,3
18,Female,3.25,133,3.96,Mathematics,4,5,4,8,3,53200.0,5,1,1
22,Male,2.38,381,3.55,Computer Science,1,3,9,8,3,65400.0,4,3,10
22,Female,2.94,433,2.9,Medicine,4,2,7,3,2,46700.0,3,2,8
27,Female,3.44,609,3.06,Engineering,4,1,4,1,4,62000.0,8,2,9
21,Male,3.06,731,3.8,Engineering,2,0,1,3,5,56500.0,10,3,7
23,Male,2.79,389,3.1,Computer Science,3,0,9,10,1,25000.0,6,4,9
24,Female,2.64,997,2.51,Business,4,3,10,1,0,42300.0,9,3,6
26,Female,3.22,583,2.87,Medicine,2,2,6,2,4,57800.0,3,1,3
18,Female,3.88,432,3.03,Business,1,1,6,8,4,52000.0,5,5,9
23,Female,3.34,274,2.19,Business,2,3,1,4,2,64100.0,4,3,1
24,Female,2.15,351,3.49,Computer Science,4,2,5,9,1,53500.0,6,1,1
20,Male,2.92,134,2.22,Arts,1,0,4,7,3,59800.0,2,1,2
25,Female,3.78,66,2.81,Computer Science,2,1,1,3,3,45000.0,6,2,4
22,Female,2.19,639,3.61,Law,4,2,7,1,5,55000.0,3,3,3
26,Female,3.98,205,2.94,Arts,1,4,4,1,5,34700.0,8,4,1
22,Male,3.9,298,3.68,Mathematics,1,1,3,1,3,63000.0,10,4,7
26,Male,2.16,117,2.68,Medicine,3,4,2,10,4,54100.0,10,5,4
27,Male,3.87,948,3.92,Arts,4,5,8,3,5,31800.0,6,5,1
21,Male,2.73,267,2.42,Computer Science,3,5,5,5,0,46600.0,8,2,6
26,Male,3.69,794,2.08,Computer Science,1,5,10,8,1,87500.0,7,3,6
22,Female,2.84,149,3.74,Business,1,3,9,8,0,47100.0,6,5,1
27,Female,2.88,194,3.5,Computer Science,2,2,5,2,3,45400.0,9,3,7
26,Male,3.27,680,2.46,Mathematics,3,5,10,9,0,38600.0,9,4,8
20,Female,3.55,824,3.97,Law,0,2,1,9,4,33800.0,10,1,5
21,Male,2.07,886,3.0,Computer Science,4,2,10,7,2,35300.0,10,4,10
26,Male,3.19,179,3.9,Engineering,3,2,5,10,0,80300.0,4,2,7
27,Male,2.37,148,3.01,Engineering,1,1,5,5,5,55500.0,8,3,8
28,Female,2.69,465,2.94,Business,2,4,8,5,0,28800.0,3,1,7
23,Male,2.7,976,2.9,Arts,4,4,6,8,0,50300.0,5,1,3
19,Male,2.94,569,2.67,Arts,4,3,5,8,5,65400.0,3,2,10
24,Male,2.67,5,3.07,Engineering,2,5,8,5,3,56400.0,10,1,10
19,Female,2.21,526,2.91,Law,1,3,1,6,0,29400.0,4,3,2
28,Male,2.29,280,2.07,Medicine,0,2,5,6,1,59700.0,5,4,9
19,Female,2.07,499,2.52,Mathematics,2,0,3,6,4,50500.0,8,3,5
28,Female,2.94,836,2.43,Mathematics,0,0,5,5,1,53200.0,10,5,9
18,Female,3.91,436,3.73,Mathematics,3,2,3,9,1,77800.0,8,1,4
28,Female,2.23,816,3.2,Law,4,5,4,1,3,49700.0,3,1,1
28,Male,3.89,216,3.53,Engineering,1,4,9,10,0,39500.0,8,3,8
29,Male,3.47,687,3.91,Mathematics,0,3,2,3,4,25000.0,10,2,5
28,Female,3.27,828,3.29,Law,1,1,10,7,4,39600.0,4,3,4
20,Male,3.29,969,3.97,Medicine,3,0,1,9,4,38700.0,2,4,9
23,Female,3.65,515,2.62,Arts,0,3,4,2,0,25000.0,3,2,9
25,Female,2.21,887,2.37,Engineering,1,0,8,4,4,60100.0,8,1,2
26,Female,3.01,137,2.81,Computer Science,1,4,5,8,4,57600.0,5,1,1
24,Female,3.39,978,2.94,Mathematics,3,4,9,5,2,49600.0,2,2,8
21,Other,3.17,612,3.79,Medicine,2,2,10,8,2,35100.0,7,2,9
23,Female,3.67,595,3.12,Medicine,3,2,3,2,4,53700.0,5,2,4
22,Male,2.14,280,2.58,Medicine,0,0,9,8,5,59400.0,6,1,1
25,Female,3.38,132,3.49,Arts,0,0,1,6,1,76500.0,2,1,7
18,Male,3.07,393,3.01,Law,4,3,2,5,5,55200.0,7,1,5
18,Male,2.76,481,2.32,Business,1,2,9,2,0,56900.0,1,1,5
28,Female,2.68,513,3.15,Mathematics,0,4,9,7,1,52500.0,10,1,5
23,Male,3.24,628,3.82,Computer Science,2,5,10,1,1,47100.0,10,3,10
27,Male,3.78,419,3.69,Mathematics,2,3,5,6,0,61700.0,5,3,9
29,Male,2.99,202,3.17,Engineering,3,3,10,3,0,49200.0,9,3,7
19,Female,3.65,652,2.75,Law,0,1,4,6,3,47800.0,7,2,2
22,Female,2.8,658,2.17,Medicine,0,5,9,1,3,44500.0,9,1,10
18,Female,2.2,462,2.94,Mathematics,4,4,10,1,3,45600.0,9,3,9
24,Male,2.12,778,3.5,Arts,4,3,2,2,4,55100.0,1,2,4
18,Female,2.1,202,2.72,Medicine,4,5,3,10,5,59300.0,8,4,5
21,Female,2.76,914,2.47,Law,0,1,8,7,4,39200.0,7,5,2
26,Male,2.67,152,3.86,Engineering,3,5,1,4,4,53200.0,2,4,3
18,Male,3.44,897,3.64,Computer Science,3,2,2,4,5,36600.0,3,4,5
21,Male,3.49,222,3.28,Medicine,3,4,5,4,3,59500.0,6,5,1
23,Other,2.1,79,2.27,Mathematics,3,2,7,5,5,72100.0,3,2,1
23,Female,2.44,200,2.29,Mathematics,2,1,10,2,0,58300.0,8,5,1
29,Female,2.55,762,2.21,Arts,0,4,9,7,4,45200.0,4,2,7
25,Male,3.1,99,3.23,Arts,1,0,3,3,0,65400.0,7,4,10
18,Female,2.29,978,2.23,Business,0,0,4,3,5,31500.0,4,5,4
24,Female,2.27,912,3.69,Arts,3,0,10,2,3,54500.0,2,4,4
18,Female,3.89,213,3.99,Business,2,5,1,6,0,92400.0,7,5,3
24,Other,3.61,143,2.73,Computer Science,2,3,1,4,4,36800.0,8,5,2
20,Male,2.36,702,2.91,Engineering,0,5,1,4,0,45100.0,1,1,4
28,Male,2.81,389,3.42,Business,1,5,4,8,3,46700.0,5,3,2
25,Female,2.71,813,3.87,Medicine,3,5,9,2,4,33200.0,10,3,7
20,Female,3.58,374,3.79,Law,2,5,8,7,4,38700.0,8,4,10
18,Female,3.02,52,2.12,Mathematics,3,0,4,2,3,50400.0,1,4,6
25,Male,2.26,967,2.34,Medicine,3,3,8,6,1,74100.0,3,4,6
20,Female,3.48,624,3.51,Mathematics,3,3,7,5,2,57200.0,2,1,2
19,Male,2.79,135,3.38,Engineering,4,1,6,8,3,66800.0,3,1,5
18,Male,2.53,411,2.27,Arts,3,0,10,6,5,62500.0,3,4,10
20,Female,2.75,985,3.0,Law,3,4,2,7,0,55200.0,3,1,8
19,Female,3.0,470,3.56,Medicine,1,5,3,6,1,25000.0,1,5,2
19,Male,2.69,112,2.44,Law,1,3,4,8,3,74200.0,3,5,8
23,Male,2.48,525,3.74,Business,4,1,7,2,2,65400.0,2,5,9
29,Male,2.8,785,2.11,Engineering,4,3,8,7,4,54200.0,9,3,3
18,Male,2.04,745,3.56,Medicine,3,4,8,5,5,30800.0,10,5,4
19,Female,3.54,44,3.23,Arts,2,4,4,9,2,28100.0,8,3,8
23,Female,2.34,397,2.63,Law,2,0,9,9,2,32000.0,6,5,2
20,Male,2.09,986,3.44,Arts,0,3,8,8,5,39700.0,7,4,2
21,Female,3.31,585,3.56,Law,2,4,5,8,3,55500.0,1,3,1
18,Female,3.55,261,3.87,Medicine,2,2,3,4,4,46300.0,7,1,2
25,Female,3.63,743,2.74,Engineering,1,4,2,8,4,51400.0,8,3,9
24,Male,2.99,545,3.37,Computer Science,0,4,9,2,2,58300.0,8,2,5
24,Female,2.41,388,3.21,Medicine,0,3,1,5,3,69600.0,6,3,4
20,Male,3.47,476,3.05,Arts,1,5,7,4,4,40600.0,7,5,2
27,Male,3.4,410,3.78,Computer Science,2,4,7,5,4,25000.0,2,5,2
27,Male,2.49,580,2.01,Engineering,2,1,1,5,0,38000.0,4,5,6
20,Female,3.81,16,2.56,Arts,0,5,7,5,2,59000.0,8,1,7
